,roe_change,margin_change,leverage_change,eps_growth,book_value_growth,log_return,rolling_beta,volume_ratio,roe_change_accel,margin_change_accel,eps_growth_surprise,reaction_speed,vol_regime_ratio_20_60
roe_change,1.0,0.5863557869677308,-0.1667581858216001,0.15870047512413288,0.21843215333527524,-0.0030431529900449826,0.0026228302386234756,-0.001348019394681225,0.1086381747422238,0.0651662201250761,0.019556868837469783,-5.4710551185859856e-05,-0.002538020505452975
margin_change,0.5863557869677308,1.0,-0.18581659665463682,0.04618113165696019,0.2465249202580345,-0.0002934778220772401,0.002153050768802015,0.0028282242695699296,0.06383625628062484,0.10938153154922846,0.007166899076122727,-2.0136859843929854e-05,0.009968737092898238
leverage_change,-0.1667581858216001,-0.18581659665463682,1.0,0.1373500744143673,-0.6670788870496683,-0.00012124656420862089,-0.004497954727081384,-0.006323901393174695,-0.016969109247349307,-0.01502441311083444,0.006820820156042534,-4.479829943357504e-05,0.007651494792082082
eps_growth,0.15870047512413288,0.04618113165696019,0.1373500744143673,1.0,-0.12498947429840457,0.0028738098923488716,0.0028891506643947368,-0.009824344006088908,0.010638065992814711,0.004006773061512664,0.11686540555675586,-0.00018031750187960348,0.0028728999703654277
book_value_growth,0.21843215333527524,0.2465249202580345,-0.6670788870496683,-0.12498947429840457,1.0,-0.0023297911287526577,0.003567356341836002,-0.0044471224267163545,0.01670404073548979,0.017884708610791698,-0.009455451150140364,-0.0020185931969151803,0.017297816246333683
log_return,-0.0030431529900449826,-0.0002934778220772401,-0.00012124656420862089,0.0028738098923488716,-0.0023297911287526577,1.0,0.005026189104984102,-0.00038627051786132655,-0.0075543934540745076,-0.004108831614600845,0.005110872232463033,0.1500063937808635,-0.004706310367164222
rolling_beta,0.0026228302386234756,0.002153050768802015,-0.004497954727081384,0.0028891506643947368,0.003567356341836002,0.005026189104984102,1.0,-0.0017871983063949457,-0.003933324606481921,-0.0022438234484839187,0.020924254728392523,-0.0007483682793763145,-0.010189684813359393
volume_ratio,-0.001348019394681225,0.0028282242695699296,-0.006323901393174695,-0.009824344006088908,-0.0044471224267163545,-0.00038627051786132655,-0.0017871983063949457,1.0,-0.0018010869470056188,-0.0006838319800824687,-0.0007974491221913158,-0.03619666935440304,0.014791349470309322
roe_change_accel,0.1086381747422238,0.06383625628062484,-0.016969109247349307,0.010638065992814711,0.01670404073548979,-0.0075543934540745076,-0.003933324606481921,-0.0018010869470056188,1.0,0.591305605980904,0.08191308778291302,-0.007529029485863675,-0.006426256595468009
margin_change_accel,0.0651662201250761,0.10938153154922846,-0.01502441311083444,0.004006773061512664,0.017884708610791698,-0.004108831614600845,-0.0022438234484839187,-0.0006838319800824687,0.591305605980904,1.0,0.035194206648237907,-0.02766161117907355,0.01639220579105329
eps_growth_surprise,0.019556868837469783,0.007166899076122727,0.006820820156042534,0.11686540555675586,-0.009455451150140364,0.005110872232463033,0.020924254728392523,-0.0007974491221913158,0.08191308778291302,0.035194206648237907,1.0,0.02572834858781717,0.008590982755509695
reaction_speed,-5.4710551185859856e-05,-2.0136859843929854e-05,-4.479829943357504e-05,-0.00018031750187960348,-0.0020185931969151803,0.1500063937808635,-0.0007483682793763145,-0.03619666935440304,-0.007529029485863675,-0.02766161117907355,0.02572834858781717,1.0,-0.10567393560681826
vol_regime_ratio_20_60,-0.002538020505452975,0.009968737092898238,0.007651494792082082,0.0028728999703654277,0.017297816246333683,-0.004706310367164222,-0.010189684813359393,0.014791349470309322,-0.006426256595468009,0.01639220579105329,0.008590982755509695,-0.10567393560681826,1.0
