feature,spearman_ic,n_obs
log_return,0.009951083893607405,119348
volume_ratio,0.009880762894850698,119318
rolling_beta,0.008031521784490707,74991
leverage_change,0.007178646778043393,42948
eps_growth_surprise,0.00338993380647968,43412
vol_regime_ratio_20_60,0.00032011725581069974,118958
reaction_speed,-0.0009626551392340615,119358
eps_growth,-0.003803387281469795,46540
margin_change_accel,-0.004198802930556608,45273
roe_change,-0.006103748042700909,46540
roe_change_accel,-0.006565842774965244,45273
margin_change,-0.007579935726831248,46540
book_value_growth,-0.013167129123131607,45846
